Gene,Non-unique Gene name,Annotation,15608_247,21053_8147,11822_158,14410_846,15608_513,21127_2104,14913_283,21127_2150,24820_2209,15682_121,14412_245,21127_264,15608_324,15608_539,15682_350,15682_241,15608_212,15682_157,14412_13,15682_27,21053_8178,15608_533,31588_4131,15608_567,17428_844,21127_288,15682_177,14410_881,21127_2177,24820_2267
group_202,,hypothetical protein,NKIHGLOF_00911,CAIOAPPO_01123,EGGPCNEA_00650,BOGLFJDA_02070,JLENOMMB_01749,,KGLLIHJM_02072,OJAJHHAH_01391,OCGAAEPO_00913,GLNDJCAF_01765,ODFLGDBH_02093,APOOJODC_00530,FONPKMKP_00707,OKOELMAF_01646,PEGMINDJ_00880,BCHKDIOD_01862,LPFDPCGO_00417,BPKFELMP_00325,OEDMFFKP_01282,BCNLJEOI_01691,GLONHLBP_01834,FPEIOILE_01639,PEHMELEN_00547,,ELMHKFIJ_01229,GGJPJCAM_00995,JCMFBBHK_00677,FBLGIOPA_02110,IJNFIKKA_00191,NCOGIHLP_01244
group_200,yteP_1,putative multiple-sugar transport system permease YteP,NKIHGLOF_00995,CAIOAPPO_00377,EGGPCNEA_00886,BOGLFJDA_00996,JLENOMMB_00835,,KGLLIHJM_01062,OJAJHHAH_00769,OCGAAEPO_00609,GLNDJCAF_01021,ODFLGDBH_01125,APOOJODC_01045,FONPKMKP_00623,OKOELMAF_00026,PEGMINDJ_00497,,LPFDPCGO_00666,BPKFELMP_00049,OEDMFFKP_00951,BCNLJEOI_00722,GLONHLBP_00906,FPEIOILE_00902,PEHMELEN_00409,NFCFPMIG_01081,ELMHKFIJ_01738,GGJPJCAM_01129,JCMFBBHK_00529,FBLGIOPA_00885,IJNFIKKA_01920,NCOGIHLP_01377
rbsR,rbsR,Ribose operon repressor,NKIHGLOF_00994,CAIOAPPO_00378,EGGPCNEA_00887,BOGLFJDA_00995,JLENOMMB_00836,,KGLLIHJM_01061,OJAJHHAH_00768,OCGAAEPO_00610,GLNDJCAF_01022,ODFLGDBH_01126,APOOJODC_01044,FONPKMKP_00624,OKOELMAF_00027,PEGMINDJ_00496,,LPFDPCGO_00667,BPKFELMP_00050,OEDMFFKP_00950,BCNLJEOI_00723,GLONHLBP_00907,FPEIOILE_00903,PEHMELEN_00410,NFCFPMIG_01080,ELMHKFIJ_01739,GGJPJCAM_01128,JCMFBBHK_00528,FBLGIOPA_00886,IJNFIKKA_01919,NCOGIHLP_01376
gutB,gutB,Sorbitol dehydrogenase,NKIHGLOF_00882,CAIOAPPO_01094,,BOGLFJDA_02092,JLENOMMB_01778,ALHNJLOP_01902,KGLLIHJM_02117,OJAJHHAH_02206,OCGAAEPO_00941,GLNDJCAF_01794,ODFLGDBH_02144,APOOJODC_02147,FONPKMKP_00736,OKOELMAF_01675,PEGMINDJ_00909,BCHKDIOD_01891,LPFDPCGO_01996,BPKFELMP_02324,OEDMFFKP_02166,BCNLJEOI_01719,GLONHLBP_01805,FPEIOILE_01668,PEHMELEN_00576,NFCFPMIG_02041,ELMHKFIJ_01258,GGJPJCAM_02226,,FBLGIOPA_02158,IJNFIKKA_00220,NCOGIHLP_01272
group_133,,hypothetical protein,NKIHGLOF_00910,CAIOAPPO_01122,EGGPCNEA_00651,BOGLFJDA_02069,JLENOMMB_01750,,KGLLIHJM_02071,OJAJHHAH_01392,OCGAAEPO_00914,GLNDJCAF_01766,ODFLGDBH_02094,APOOJODC_00531,FONPKMKP_00708,OKOELMAF_01647,PEGMINDJ_00881,BCHKDIOD_01863,LPFDPCGO_00418,BPKFELMP_00324,OEDMFFKP_01281,BCNLJEOI_01692,GLONHLBP_01833,FPEIOILE_01640,PEHMELEN_00548,,ELMHKFIJ_01230,GGJPJCAM_00996,JCMFBBHK_00676,FBLGIOPA_02111,IJNFIKKA_00192,NCOGIHLP_01245
group_59,,hypothetical protein,NKIHGLOF_00907,CAIOAPPO_01119,EGGPCNEA_00654,BOGLFJDA_02066,JLENOMMB_01753,,KGLLIHJM_02068,OJAJHHAH_01395,OCGAAEPO_00917,GLNDJCAF_01769,ODFLGDBH_02097,APOOJODC_00534,FONPKMKP_00711,OKOELMAF_01650,PEGMINDJ_00884,BCHKDIOD_01866,LPFDPCGO_00421,BPKFELMP_00321,OEDMFFKP_01278,BCNLJEOI_01695,GLONHLBP_01830,FPEIOILE_01643,PEHMELEN_00551,,ELMHKFIJ_01233,GGJPJCAM_00999,JCMFBBHK_00673,FBLGIOPA_02114,IJNFIKKA_00195,NCOGIHLP_01248
group_54,,hypothetical protein,NKIHGLOF_00997,CAIOAPPO_00375,EGGPCNEA_00884,BOGLFJDA_00998,JLENOMMB_00833,,KGLLIHJM_01064,OJAJHHAH_00771,OCGAAEPO_00607,GLNDJCAF_01019,ODFLGDBH_01123,APOOJODC_01047,FONPKMKP_00621,OKOELMAF_00024,PEGMINDJ_00499,,LPFDPCGO_00664,BPKFELMP_00047,OEDMFFKP_00953,BCNLJEOI_00720,GLONHLBP_00904,FPEIOILE_00900,PEHMELEN_00407,NFCFPMIG_01083,ELMHKFIJ_01736,GGJPJCAM_01131,JCMFBBHK_00531,FBLGIOPA_00883,IJNFIKKA_01922,NCOGIHLP_01379
group_32,,hypothetical protein,NKIHGLOF_00909,CAIOAPPO_01121,EGGPCNEA_00652,BOGLFJDA_02068,JLENOMMB_01751,,KGLLIHJM_02070,OJAJHHAH_01393,OCGAAEPO_00915,GLNDJCAF_01767,ODFLGDBH_02095,APOOJODC_00532,FONPKMKP_00709,OKOELMAF_01648,PEGMINDJ_00882,BCHKDIOD_01864,LPFDPCGO_00419,BPKFELMP_00323,OEDMFFKP_01280,BCNLJEOI_01693,GLONHLBP_01832,FPEIOILE_01641,PEHMELEN_00549,,ELMHKFIJ_01231,GGJPJCAM_00997,JCMFBBHK_00675,FBLGIOPA_02112,IJNFIKKA_00193,NCOGIHLP_01246
group_20,,hypothetical protein,NKIHGLOF_02016,CAIOAPPO_01516,,BOGLFJDA_00498,JLENOMMB_00662,ALHNJLOP_02102,KGLLIHJM_00595,OJAJHHAH_00467,OCGAAEPO_00718,GLNDJCAF_00365,ODFLGDBH_00519,APOOJODC_00581,FONPKMKP_02032,OKOELMAF_00319,PEGMINDJ_01855,BCHKDIOD_00445,,BPKFELMP_02009,OEDMFFKP_00429,BCNLJEOI_00237,GLONHLBP_01089,FPEIOILE_00083,PEHMELEN_00793,NFCFPMIG_01914,ELMHKFIJ_01935,GGJPJCAM_00625,JCMFBBHK_00228,FBLGIOPA_00835,IJNFIKKA_00724,NCOGIHLP_00928
group_12,,hypothetical protein,NKIHGLOF_00908,CAIOAPPO_01120,EGGPCNEA_00653,BOGLFJDA_02067,JLENOMMB_01752,,KGLLIHJM_02069,OJAJHHAH_01394,OCGAAEPO_00916,GLNDJCAF_01768,ODFLGDBH_02096,APOOJODC_00533,FONPKMKP_00710,OKOELMAF_01649,PEGMINDJ_00883,BCHKDIOD_01865,LPFDPCGO_00420,BPKFELMP_00322,OEDMFFKP_01279,BCNLJEOI_01694,GLONHLBP_01831,FPEIOILE_01642,PEHMELEN_00550,,ELMHKFIJ_01232,GGJPJCAM_00998,JCMFBBHK_00674,FBLGIOPA_02113,IJNFIKKA_00194,NCOGIHLP_01247
group_1582,,IS5 family transposase ISSpn7;IS5 family transposase IS1381,NKIHGLOF_02057,CAIOAPPO_00271,2_refound_63,BOGLFJDA_01611,JLENOMMB_01970,ALHNJLOP_00481,6_refound_129,OJAJHHAH_00271,OCGAAEPO_01672,,10_refound_186,APOOJODC_00267,FONPKMKP_01258,13_refound_243_pseudo,PEGMINDJ_01664,15_refound_287,,BPKFELMP_00960,OEDMFFKP_01736,BCNLJEOI_01178,GLONHLBP_00051,FPEIOILE_00391,PEHMELEN_01693,,ELMHKFIJ_00642,GGJPJCAM_00271,JCMFBBHK_01350,FBLGIOPA_01501,IJNFIKKA_01192,NCOGIHLP_01479
group_1477,;insK,IS3 family transposase ISSpn11;Putative transposase InsK for insertion sequence element IS150,NKIHGLOF_00393,,EGGPCNEA_00559,3_refound_77_pseudo,JLENOMMB_01385,ALHNJLOP_00451,6_refound_127_pseudo,OJAJHHAH_01299,,GLNDJCAF_02022,10_refound_183_pseudo,APOOJODC_00438,FONPKMKP_00145,OKOELMAF_01962,PEGMINDJ_01955,BCHKDIOD_02152,LPFDPCGO_00328,BPKFELMP_00416,18_refound_345_pseudo,BCNLJEOI_02007,GLONHLBP_00021,21_refound_392,PEHMELEN_01149;PEHMELEN_01148,NFCFPMIG_01423,ELMHKFIJ_01137,GGJPJCAM_00903,JCMFBBHK_00767,27_refound_475_pseudo,IJNFIKKA_00102,
group_1475,,hypothetical protein,NKIHGLOF_01806,CAIOAPPO_02044,EGGPCNEA_01106,BOGLFJDA_01306,JLENOMMB_00274,ALHNJLOP_01277,KGLLIHJM_00051,,OCGAAEPO_01366,GLNDJCAF_00926,ODFLGDBH_00051,,FONPKMKP_01844,OKOELMAF_00813,PEGMINDJ_01730,BCHKDIOD_00966,LPFDPCGO_01559,BPKFELMP_01585,OEDMFFKP_00798,BCNLJEOI_01246,GLONHLBP_00789,FPEIOILE_00377,PEHMELEN_00293,NFCFPMIG_00288,ELMHKFIJ_00107,,JCMFBBHK_01915,FBLGIOPA_01172,IJNFIKKA_02108,NCOGIHLP_01656
group_1335,,hypothetical protein,0_refound_22,CAIOAPPO_00268,EGGPCNEA_00268,,JLENOMMB_00787,ALHNJLOP_00767,,OJAJHHAH_00268,OCGAAEPO_00220,GLNDJCAF_00320,ODFLGDBH_00440,APOOJODC_00264,12_refound_213,OKOELMAF_01077,PEGMINDJ_01792,BCHKDIOD_01133,16_refound_302,17_refound_328_pseudo,OEDMFFKP_01130,BCNLJEOI_01012,GLONHLBP_01528,FPEIOILE_01440,PEHMELEN_01412,NFCFPMIG_01220,ELMHKFIJ_00639,GGJPJCAM_00268,,27_refound_474_pseudo,IJNFIKKA_01189,NCOGIHLP_01684
group_1296,,hypothetical protein,,CAIOAPPO_00458,EGGPCNEA_02133,BOGLFJDA_00911,JLENOMMB_00920,ALHNJLOP_01445,KGLLIHJM_00977,OJAJHHAH_00688,OCGAAEPO_00686,GLNDJCAF_01106,ODFLGDBH_01210,APOOJODC_01854,FONPKMKP_02084,13_refound_238_pseudo,PEGMINDJ_00915,BCHKDIOD_01169,LPFDPCGO_00413,BPKFELMP_00130,OEDMFFKP_00866,BCNLJEOI_00807,GLONHLBP_00992,FPEIOILE_02046,PEHMELEN_00494,NFCFPMIG_00996,,GGJPJCAM_01048,JCMFBBHK_00453,FBLGIOPA_00970,,NCOGIHLP_01300
group_1235,,IS5 family transposase ISSpn7;hypothetical protein,NKIHGLOF_01133,CAIOAPPO_00901,EGGPCNEA_00991,,JLENOMMB_01151,ALHNJLOP_00086,KGLLIHJM_01212,OJAJHHAH_01238,OCGAAEPO_01413,GLNDJCAF_00664,ODFLGDBH_01261,APOOJODC_01381,FONPKMKP_01801,,PEGMINDJ_00673,BCHKDIOD_01363,LPFDPCGO_00655,BPKFELMP_00616,OEDMFFKP_02087,19_refound_360,GLONHLBP_00205,FPEIOILE_01442,PEHMELEN_01616,NFCFPMIG_00573,ELMHKFIJ_00883,GGJPJCAM_01448,JCMFBBHK_00987,,IJNFIKKA_00970,NCOGIHLP_01102
group_1163,,hypothetical protein,NKIHGLOF_01904,CAIOAPPO_00267,EGGPCNEA_00267,BOGLFJDA_01476,JLENOMMB_00786,ALHNJLOP_00766,KGLLIHJM_01199,OJAJHHAH_00267,,GLNDJCAF_00319,ODFLGDBH_00439,APOOJODC_00263,FONPKMKP_01935,OKOELMAF_02012,PEGMINDJ_00957,BCHKDIOD_01132,LPFDPCGO_00559,BPKFELMP_01737,,BCNLJEOI_01011,GLONHLBP_01529,FPEIOILE_01439,PEHMELEN_01413,NFCFPMIG_01219,ELMHKFIJ_00638,GGJPJCAM_00267,JCMFBBHK_02002,FBLGIOPA_00002,IJNFIKKA_01188,
group_1152,,hypothetical protein,NKIHGLOF_01984,CAIOAPPO_00292,EGGPCNEA_00803,BOGLFJDA_01289,JLENOMMB_01903,ALHNJLOP_01260,KGLLIHJM_00034,OJAJHHAH_00855,,GLNDJCAF_00895,ODFLGDBH_00034,APOOJODC_01131,FONPKMKP_01891,OKOELMAF_00796,PEGMINDJ_00583,BCHKDIOD_00949,LPFDPCGO_01139,BPKFELMP_01692,OEDMFFKP_00816,BCNLJEOI_01228,GLONHLBP_00806,FPEIOILE_01788,PEHMELEN_00310,NFCFPMIG_00270,,GGJPJCAM_01215,JCMFBBHK_00616,FBLGIOPA_01154,IJNFIKKA_01546,
group_1026,,hypothetical protein,NKIHGLOF_01288,CAIOAPPO_01490,EGGPCNEA_01949,BOGLFJDA_01786,JLENOMMB_01702,,6_refound_118_pseudo,OJAJHHAH_00442,OCGAAEPO_00743,,ODFLGDBH_00492,APOOJODC_01823,FONPKMKP_01576,OKOELMAF_00346,PEGMINDJ_01880,BCHKDIOD_01690,,BPKFELMP_01454,OEDMFFKP_01479,BCNLJEOI_01592,GLONHLBP_01062,FPEIOILE_00056,PEHMELEN_00820,NFCFPMIG_01821,ELMHKFIJ_01960,GGJPJCAM_00650,JCMFBBHK_01657,FBLGIOPA_01828,IJNFIKKA_00749,NCOGIHLP_00953
group_919,,hypothetical protein,0_refound_8,1_refound_34,EGGPCNEA_01392,3_refound_68,,ALHNJLOP_01911,6_refound_114,7_refound_136,OCGAAEPO_00532,GLNDJCAF_01205,10_refound_174,11_refound_192,12_refound_202,OKOELMAF_00505,14_refound_251,BCHKDIOD_00540,LPFDPCGO_00932,17_refound_315,,BCNLJEOI_01528,GLONHLBP_01713,FPEIOILE_00804,,NFCFPMIG_01676,ELMHKFIJ_01669,25_refound_435,26_refound_454,27_refound_466,IJNFIKKA_00564,NCOGIHLP_00207
group_901,,IS630 family transposase IS630-Spn1,0_refound_6_pseudo,1_refound_32_pseudo,2_refound_54_pseudo,BOGLFJDA_02107,JLENOMMB_02115,ALHNJLOP_00892,KGLLIHJM_02152,7_refound_134_pseudo,8_refound_151_pseudo,GLNDJCAF_01252,ODFLGDBH_01048,11_refound_190_pseudo,,OKOELMAF_02041,,BCHKDIOD_02182,16_refound_297_pseudo,,OEDMFFKP_02173,BCNLJEOI_02135,GLONHLBP_02203,FPEIOILE_02073,PEHMELEN_02229,NFCFPMIG_02093,24_refound_426_pseudo,25_refound_434_pseudo,26_refound_452_pseudo,FBLGIOPA_02166,28_refound_482_pseudo,29_refound_494_pseudo
group_803,,hypothetical protein,0_refound_0,1_refound_27,2_refound_49,BOGLFJDA_00044,JLENOMMB_00427,ALHNJLOP_00432,KGLLIHJM_00818,7_refound_131,8_refound_149,GLNDJCAF_00843,ODFLGDBH_00928,11_refound_188,,OKOELMAF_01306,,BCHKDIOD_00217,16_refound_291,17_refound_312,OEDMFFKP_00019,BCNLJEOI_00477,GLONHLBP_00473,FPEIOILE_00536,22_refound_396,NFCFPMIG_00208,24_refound_422,25_refound_431,,FBLGIOPA_00426,28_refound_478,29_refound_492
group_584,,hypothetical protein,NKIHGLOF_00330,CAIOAPPO_00744,2_refound_43_pseudo,BOGLFJDA_00083,JLENOMMB_00377,ALHNJLOP_00391,KGLLIHJM_00857,OJAJHHAH_01088,OCGAAEPO_00345,GLNDJCAF_00790,,APOOJODC_00373,FONPKMKP_00082,OKOELMAF_01076,,15_refound_265_pseudo,LPFDPCGO_01321,BPKFELMP_00894,OEDMFFKP_00058,BCNLJEOI_00426,GLONHLBP_00526,FPEIOILE_00483,PEHMELEN_01088,NFCFPMIG_00167,ELMHKFIJ_01074,GGJPJCAM_00840,JCMFBBHK_01821,,IJNFIKKA_00038,NCOGIHLP_00575
group_1592,,hypothetical protein,NKIHGLOF_01274,CAIOAPPO_00988,,BOGLFJDA_02099,JLENOMMB_02107,ALHNJLOP_00900,KGLLIHJM_02160,OJAJHHAH_00898,,GLNDJCAF_01260,ODFLGDBH_01040,APOOJODC_01243,FONPKMKP_00903,OKOELMAF_02033,PEGMINDJ_01099,BCHKDIOD_02190,LPFDPCGO_00427,BPKFELMP_01841,OEDMFFKP_02181,BCNLJEOI_00895,GLONHLBP_02195,FPEIOILE_02081,PEHMELEN_02237,NFCFPMIG_02101,ELMHKFIJ_01429,GGJPJCAM_00337,JCMFBBHK_00087,FBLGIOPA_02174,,
group_1589,,ISL3 family transposaseA;ISL3 family transposase ISSpn14;ISL3 family transposase IS1167,NKIHGLOF_00915,CAIOAPPO_01127,EGGPCNEA_00646,BOGLFJDA_02076,JLENOMMB_01561,ALHNJLOP_00048,KGLLIHJM_02101,OJAJHHAH_01387,,9_refound_169_pseudo,,APOOJODC_00526,FONPKMKP_00703,,PEGMINDJ_00876,,LPFDPCGO_00412,BPKFELMP_00329,OEDMFFKP_02150,19_refound_368_pseudo,GLONHLBP_00087,FPEIOILE_00986,PEHMELEN_01729,23_refound_420_pseudo,ELMHKFIJ_01225,GGJPJCAM_00991,JCMFBBHK_00680,FBLGIOPA_02142,IJNFIKKA_00187,NCOGIHLP_01240
group_1562,,IS630 family transposase IS630-Spn1,NKIHGLOF_01903,CAIOAPPO_00979,EGGPCNEA_00312,BOGLFJDA_02108,4_refound_99_pseudo,ALHNJLOP_00891,KGLLIHJM_02151,OJAJHHAH_00907,OCGAAEPO_00077,,ODFLGDBH_01049,APOOJODC_01234,FONPKMKP_01014,,PEGMINDJ_01999,,LPFDPCGO_01662,BPKFELMP_01736,OEDMFFKP_02172,19_refound_367_pseudo,GLONHLBP_02204,,PEHMELEN_02228,NFCFPMIG_02075,ELMHKFIJ_00682,GGJPJCAM_00328,JCMFBBHK_01063,FBLGIOPA_02165,IJNFIKKA_00353,NCOGIHLP_01424
group_1445,,hypothetical protein,NKIHGLOF_01272,CAIOAPPO_00990,EGGPCNEA_00132,BOGLFJDA_00737,4_refound_97,ALHNJLOP_00648,KGLLIHJM_00323,OJAJHHAH_00896,,GLNDJCAF_00203,ODFLGDBH_00326,APOOJODC_01245,FONPKMKP_00905,OKOELMAF_02139,PEGMINDJ_01101,BCHKDIOD_02263,LPFDPCGO_00428,BPKFELMP_01839,18_refound_344,BCNLJEOI_00897,GLONHLBP_02232,FPEIOILE_00996,PEHMELEN_01528,NFCFPMIG_02182,ELMHKFIJ_01489,GGJPJCAM_00339,,FBLGIOPA_00115,,
group_1349,,ISL3 family transposase IS1167,NKIHGLOF_01393,CAIOAPPO_02150,EGGPCNEA_01780,BOGLFJDA_00886,JLENOMMB_00945,,KGLLIHJM_00952,OJAJHHAH_00338,OCGAAEPO_00796,GLNDJCAF_01131,,APOOJODC_02183,FONPKMKP_01629,OKOELMAF_02105,PEGMINDJ_02051,,LPFDPCGO_01833,BPKFELMP_02281,OEDMFFKP_01376,,GLONHLBP_01009,FPEIOILE_00003,PEHMELEN_01859,NFCFPMIG_01968,ELMHKFIJ_02013,GGJPJCAM_00756,JCMFBBHK_01710,FBLGIOPA_00995,IJNFIKKA_00801,NCOGIHLP_02194
group_1229,,hypothetical protein,NKIHGLOF_01188;NKIHGLOF_01642,CAIOAPPO_01088;CAIOAPPO_01898,EGGPCNEA_00417,BOGLFJDA_01666;BOGLFJDA_02128,,ALHNJLOP_00790,KGLLIHJM_00385;KGLLIHJM_01969,OJAJHHAH_02241,OCGAAEPO_00101;OCGAAEPO_02170,,ODFLGDBH_02061;ODFLGDBH_00977,APOOJODC_00284;APOOJODC_01285;APOOJODC_01968,FONPKMKP_01193;FONPKMKP_00989,OKOELMAF_00897,PEGMINDJ_01187;PEGMINDJ_02216,BCHKDIOD_02127,LPFDPCGO_02106,BPKFELMP_00895;BPKFELMP_01059,OEDMFFKP_01952;OEDMFFKP_01837,,GLONHLBP_00116,,PEHMELEN_01758;PEHMELEN_02032,NFCFPMIG_00486,ELMHKFIJ_00787,GGJPJCAM_02263;GGJPJCAM_00427,JCMFBBHK_02132;JCMFBBHK_02003,FBLGIOPA_01779;FBLGIOPA_02105,IJNFIKKA_00454;IJNFIKKA_00329,NCOGIHLP_01448;NCOGIHLP_02222
group_1209,;smc_1,hypothetical protein;Chromosome partition protein Smc,NKIHGLOF_00704,CAIOAPPO_01698,EGGPCNEA_01115,,JLENOMMB_00646,,KGLLIHJM_00577,OJAJHHAH_00490,OCGAAEPO_00861,GLNDJCAF_00382,,APOOJODC_00604,,OKOELMAF_00303,PEGMINDJ_01631,BCHKDIOD_00428,LPFDPCGO_00188,BPKFELMP_01122,OEDMFFKP_00411,BCNLJEOI_00220,GLONHLBP_01106,FPEIOILE_00099,PEHMELEN_00776,NFCFPMIG_00798,ELMHKFIJ_00583,GGJPJCAM_00602,JCMFBBHK_00250,FBLGIOPA_00817,IJNFIKKA_00703,NCOGIHLP_00908
group_1050,,IS630 family transposase IS630-Spn1,0_refound_14_pseudo,CAIOAPPO_02182,EGGPCNEA_02054,BOGLFJDA_00246,JLENOMMB_01865,ALHNJLOP_00228,KGLLIHJM_01800,OJAJHHAH_01493,OCGAAEPO_01888,9_refound_165_pseudo,ODFLGDBH_01070,APOOJODC_01614,12_refound_207,13_refound_231_pseudo,,15_refound_278_pseudo,,17_refound_320_pseudo,OEDMFFKP_02000,,GLONHLBP_00692,,PEHMELEN_00921,23_refound_415_pseudo,ELMHKFIJ_00967,GGJPJCAM_01808,JCMFBBHK_02029,FBLGIOPA_01973,IJNFIKKA_01052,NCOGIHLP_01882
lnrL,lnrL,Linearmycin resistance ATP-binding protein LnrL,NKIHGLOF_01014,CAIOAPPO_00358,EGGPCNEA_00867,BOGLFJDA_01013,JLENOMMB_00818,ALHNJLOP_01344,KGLLIHJM_01079,OJAJHHAH_00788,,GLNDJCAF_01004,ODFLGDBH_01108,APOOJODC_01064,FONPKMKP_00604,OKOELMAF_00009,PEGMINDJ_00516,,LPFDPCGO_01073,BPKFELMP_00030,OEDMFFKP_00968,BCNLJEOI_00705,GLONHLBP_00889,FPEIOILE_00885,PEHMELEN_00392,NFCFPMIG_01098,,GGJPJCAM_01148,JCMFBBHK_00549,FBLGIOPA_00868,IJNFIKKA_01611,
group_915,,hypothetical protein,NKIHGLOF_00292,CAIOAPPO_00705,EGGPCNEA_00460,BOGLFJDA_00120,JLENOMMB_00341,ALHNJLOP_00354,KGLLIHJM_00895,,OCGAAEPO_00383,GLNDJCAF_00753,ODFLGDBH_00853,,FONPKMKP_00044,OKOELMAF_01038,PEGMINDJ_01445,BCHKDIOD_00129,LPFDPCGO_01283,BPKFELMP_00856,OEDMFFKP_00096,BCNLJEOI_00389,GLONHLBP_00562,FPEIOILE_00447,PEHMELEN_01051,,ELMHKFIJ_01036,,JCMFBBHK_01783,FBLGIOPA_00501,IJNFIKKA_02020,NCOGIHLP_00537
group_639,,hypothetical protein,NKIHGLOF_01759,CAIOAPPO_00212,EGGPCNEA_00212,3_refound_67_pseudo,JLENOMMB_00735,,,OJAJHHAH_00212,OCGAAEPO_00038,GLNDJCAF_00267,,APOOJODC_00212,FONPKMKP_01686,OKOELMAF_01138,PEGMINDJ_00011,BCHKDIOD_01082,LPFDPCGO_00503,BPKFELMP_01324,,BCNLJEOI_00960,GLONHLBP_01580,FPEIOILE_01059,PEHMELEN_01464,NFCFPMIG_01168,ELMHKFIJ_01572,GGJPJCAM_00212,JCMFBBHK_01452,27_refound_465_pseudo,IJNFIKKA_01133,NCOGIHLP_01561
group_315,,hypothetical protein,NKIHGLOF_01013,CAIOAPPO_00359,EGGPCNEA_00868,BOGLFJDA_01012,JLENOMMB_00819,ALHNJLOP_01345,KGLLIHJM_01078,OJAJHHAH_00787,,GLNDJCAF_01005,ODFLGDBH_01109,APOOJODC_01063,FONPKMKP_00605,OKOELMAF_00010,PEGMINDJ_00515,,LPFDPCGO_01072,BPKFELMP_00031,OEDMFFKP_00967,BCNLJEOI_00706,GLONHLBP_00890,FPEIOILE_00886,PEHMELEN_00393,NFCFPMIG_01097,,GGJPJCAM_01147,JCMFBBHK_00548,FBLGIOPA_00869,IJNFIKKA_01612,
group_284,,hypothetical protein,NKIHGLOF_01015,CAIOAPPO_00357,EGGPCNEA_00866,BOGLFJDA_01014,JLENOMMB_00817,ALHNJLOP_01343,KGLLIHJM_01080,OJAJHHAH_00789,,GLNDJCAF_01003,ODFLGDBH_01107,APOOJODC_01065,FONPKMKP_00603,OKOELMAF_00008,PEGMINDJ_00517,,LPFDPCGO_01074,BPKFELMP_00029,OEDMFFKP_00969,BCNLJEOI_00704,GLONHLBP_00888,FPEIOILE_00884,PEHMELEN_00391,NFCFPMIG_01099,,GGJPJCAM_01149,JCMFBBHK_00550,FBLGIOPA_00867,IJNFIKKA_01610,
group_1558,,hypothetical protein,NKIHGLOF_01253,CAIOAPPO_01009,,BOGLFJDA_01710,JLENOMMB_01639,ALHNJLOP_00921,KGLLIHJM_00341,OJAJHHAH_00877,,GLNDJCAF_01299,ODFLGDBH_01020,APOOJODC_01264,FONPKMKP_00924,OKOELMAF_01411,PEGMINDJ_01120,BCHKDIOD_01505,,BPKFELMP_00980,OEDMFFKP_01880,BCNLJEOI_01572,GLONHLBP_01944,FPEIOILE_01522,PEHMELEN_01989,NFCFPMIG_00443,ELMHKFIJ_01446,GGJPJCAM_00358,JCMFBBHK_00067,FBLGIOPA_01736,,
group_1554,,hypothetical protein,NKIHGLOF_01256,CAIOAPPO_01006,,BOGLFJDA_01706,JLENOMMB_01643,ALHNJLOP_00917,KGLLIHJM_00337,OJAJHHAH_00880,,GLNDJCAF_01295,ODFLGDBH_01024,APOOJODC_01261,FONPKMKP_00921,OKOELMAF_01407,PEGMINDJ_01117,BCHKDIOD_01509,,BPKFELMP_00977,OEDMFFKP_01884,BCNLJEOI_01576,GLONHLBP_01940,FPEIOILE_01526,PEHMELEN_01985,NFCFPMIG_00439,ELMHKFIJ_01443,GGJPJCAM_00355,JCMFBBHK_00070,FBLGIOPA_01732,,
group_1553,,hypothetical protein,NKIHGLOF_01254,CAIOAPPO_01008,,BOGLFJDA_01709,JLENOMMB_01640,ALHNJLOP_00920,KGLLIHJM_00340,OJAJHHAH_00878,,GLNDJCAF_01298,ODFLGDBH_01021,APOOJODC_01263,FONPKMKP_00923,OKOELMAF_01410,PEGMINDJ_01119,BCHKDIOD_01506,,BPKFELMP_00979,OEDMFFKP_01881,BCNLJEOI_01573,GLONHLBP_01943,FPEIOILE_01523,PEHMELEN_01988,NFCFPMIG_00442,ELMHKFIJ_01445,GGJPJCAM_00357,JCMFBBHK_00068,FBLGIOPA_01735,,
group_1544,,hypothetical protein,NKIHGLOF_01255,CAIOAPPO_01007,,BOGLFJDA_01707;BOGLFJDA_01708,JLENOMMB_01642;JLENOMMB_01641,ALHNJLOP_00919;ALHNJLOP_00918,KGLLIHJM_00339;KGLLIHJM_00338,OJAJHHAH_00879,,GLNDJCAF_01297;GLNDJCAF_01296,ODFLGDBH_01023;ODFLGDBH_01022,APOOJODC_01262,FONPKMKP_00922,OKOELMAF_01409;OKOELMAF_01408,PEGMINDJ_01118,BCHKDIOD_01507;BCHKDIOD_01508,,BPKFELMP_00978,OEDMFFKP_01882;OEDMFFKP_01883,BCNLJEOI_01574;BCNLJEOI_01575,GLONHLBP_01941;GLONHLBP_01942,FPEIOILE_01525;FPEIOILE_01524,PEHMELEN_01986;PEHMELEN_01987,NFCFPMIG_00441;NFCFPMIG_00440,ELMHKFIJ_01444,GGJPJCAM_00356,JCMFBBHK_00069,FBLGIOPA_01733;FBLGIOPA_01734,,
